x1,x2,x4,x5,x7,x9,x11,x12,x14,x15,x17,x18,x20,x21,x22,x24,x25,x27
0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
0.000402034,0.000402034,0.000402034,0.000402034,0.000402034,0.000402034,0.000402039,0.000402039,0.000402039,0.000402039,0.000402039,0.000402039,0.000402036,0.000402036,0.000402036,0.000402036,0.000402036,0.000402036
0.000413126,0.000413126,0.000413126,0.000413126,0.000413126,0.000413126,0.000413142,0.000413142,0.000413142,0.000413142,0.000413142,0.000413142,0.000413132,0.000413132,0.000413132,0.000413132,0.000413132,0.000413132
0.000435147,0.000435147,0.000435147,0.000435147,0.000435147,0.000435147,0.000435177,0.000435177,0.000435177,0.000435177,0.000435177,0.000435177,0.00043516,0.00043516,0.00043516,0.00043516,0.00043516,0.00043516
0.00046883,0.00046883,0.00046883,0.00046883,0.00046883,0.00046883,0.000468877,0.000468877,0.000468877,0.000468877,0.000468877,0.000468877,0.000468849,0.000468849,0.000468849,0.000468849,0.000468849,0.000468849
0.000514287,0.000514287,0.000514287,0.000514287,0.000514287,0.000514287,0.000514355,0.000514355,0.000514355,0.000514355,0.000514355,0.000514355,0.000514315,0.000514315,0.000514315,0.000514315,0.000514315,0.000514315
0.0005713,0.0005713,0.0005713,0.0005713,0.0005713,0.0005713,0.000571396,0.000571396,0.000571396,0.000571396,0.000571396,0.000571396,0.000571341,0.000571341,0.000571341,0.000571341,0.000571341,0.000571341
0.00063965,0.00063965,0.00063965,0.00063965,0.00063965,0.00063965,0.000639784,0.000639784,0.000639784,0.000639784,0.000639784,0.000639784,0.000639706,0.000639706,0.000639707,0.000639707,0.000639707,0.000639707
0.000719169,0.000719169,0.000719169,0.000719169,0.000719169,0.000719169,0.000719353,0.000719353,0.000719353,0.000719353,0.000719353,0.000719353,0.000719246,0.000719246,0.000719246,0.000719246,0.000719246,0.000719246
0.000809688,0.000809688,0.000809688,0.000809688,0.000809688,0.000809688,0.000809942,0.000809942,0.000809942,0.000809942,0.000809942,0.000809942,0.000809794,0.000809794,0.000809794,0.000809794,0.000809794,0.000809794
0.000911095,0.000911095,0.000911095,0.000911095,0.000911095,0.000911095,0.000911444,0.000911444,0.000911444,0.000911444,0.000911444,0.000911444,0.000911241,0.000911241,0.000911241,0.000911241,0.000911241,0.000911241
0.001023315,0.001023315,0.001023315,0.001023315,0.001023315,0.001023315,0.001023792,0.001023792,0.001023792,0.001023792,0.001023792,0.001023792,0.001023514,0.001023514,0.001023514,0.001023514,0.001023514,0.001023514
0.001146274,0.001146274,0.001146274,0.001146274,0.001146274,0.001146274,0.001146926,0.001146926,0.001146926,0.001146926,0.001146926,0.001146926,0.001146545,0.001146545,0.001146545,0.001146545,0.001146545,0.001146545
0.001279918,0.001279918,0.001279918,0.001279918,0.001279918,0.001279918,0.00128081,0.00128081,0.001280811,0.001280811,0.001280811,0.001280811,0.001280288,0.001280288,0.001280288,0.001280288,0.001280288,0.001280288
0.00142421,0.00142421,0.00142421,0.00142421,0.00142421,0.00142421,0.001425428,0.001425428,0.001425428,0.001425428,0.001425428,0.001425428,0.001424713,0.001424713,0.001424714,0.001424714,0.001424713,0.001424713
0.001579111,0.001579111,0.001579111,0.001579111,0.001579111,0.001579111,0.00158077,0.00158077,0.001580771,0.001580771,0.001580771,0.001580771,0.001579795,0.001579795,0.001579796,0.001579796,0.001579795,0.001579795
0.001744586,0.001744586,0.001744587,0.001744587,0.001744586,0.001744586,0.00174685,0.00174685,0.001746851,0.001746851,0.001746851,0.001746851,0.001745518,0.001745518,0.00174552,0.00174552,0.001745519,0.001745519
0.001920611,0.001920611,0.001920612,0.001920612,0.001920611,0.001920611,0.001923691,0.001923691,0.001923693,0.001923693,0.001923692,0.001923692,0.001921881,0.001921881,0.001921882,0.001921882,0.001921882,0.001921882
0.002107156,0.002107156,0.002107158,0.002107158,0.002107157,0.002107157,0.002111339,0.002111339,0.002111341,0.002111341,0.00211134,0.00211134,0.002108887,0.002108887,0.002108889,0.002108889,0.002108888,0.002108888
0.002304192,0.002304192,0.002304195,0.002304195,0.002304193,0.002304193,0.002309874,0.002309874,0.002309877,0.002309877,0.002309876,0.002309876,0.002306562,0.002306562,0.002306565,0.002306565,0.002306564,0.002306564
